Coordinate Set,Distance Traveled,Time Used (s)
0,3.8580950234460194,30.267119884490967
0,8.172861609837549,74.8547830581665
0,12.355929093497508,109.70989727973938
0,16.542058918759057,150.92657160758972
0,20.569382705667813,182.7153820991516
0,24.824495542171974,221.1434144973755
0,28.772935035753232,252.3188123703003
0,32.91384120236146,293.5680501461029
0,36.84641124664051,322.66719365119934
0,40.94791464802473,363.44064593315125
0,45.06633776070313,396.3498492240906
0,49.138602879561105,437.9385497570038
0,52.99753878910407,468.3986642360687
0,57.331986388223385,509.9511020183563
0,61.33063038192698,540.1396760940552
0,65.64120627000295,580.1664850711823
0,69.5529886473549,611.2759940624237
0,73.7311118218523,650.6914958953857
0,77.8068807724524,680.8451902866364
0,82.08429924324645,719.1365118026733
0,86.18210684961268,749.2282466888428
